file,target,trans_src_count
src/stringutils.cpp,//src:libovmsstring_utils,1
src/systeminfo.cpp,//src:libovms_systeminfo,3
src/tensor_conversion.cpp,//src:tensor_conversion,14
src/tensor_conversion_common.cpp,//src:tensor_conversion_common,14
src/tensorinfo.cpp,//src:libovms_tensorinfo,7
src/test/audio/speech2text_test.cpp,//src:ovms_test,379
src/test/audio/text2speech_test.cpp,//src:ovms_test,379
src/test/azurefilesystem_test.cpp,//src:ovms_test,379
src/test/c_api_stress_tests.cpp,//src:ovms_test,379
src/test/c_api_test_utils.cpp,//src:test_utils,238
src/test/c_api_tests.cpp,//src:ovms_test,379
src/test/capi_predict_validation_test.cpp,//src:ovms_test,379
src/test/config_export_full_test.cpp,//src:config_export_full_test,241
src/test/config_export_test.cpp,//src:config_export_test,13
src/test/constructor_enabled_model_manager.cpp,//src:test_constructor_enabled_model_manager,235
src/test/custom_node_buffersqueue_test.cpp,//src:ovms_test,379
src/test/custom_node_output_allocator_test.cpp,//src:ovms_test,379
src/test/custom_nodes/node_choose_maximum.cpp,//src:lib_node_choose_maximum.so,1
src/test/custom_nodes/node_dynamic_demultiplex.cpp,//src:lib_node_dynamic_demultiplex.so,1
src/test/custom_nodes/node_perform_different_operations.cpp,//src:lib_node_perform_different_operations.so,1
src/test/demultiplexer_node_test.cpp,//src:ovms_test,379
src/test/deserialization_tests.cpp,//src:ovms_test,379
src/test/disabled_mediapipe_test.cpp,//src:ovms_test,379
src/test/embeddings_handler_test.cpp,//src:embeddings_handler_tests,4
src/test/embeddingsnode_test.cpp,//src:ovms_test,379
src/test/ensemble_config_change_stress.cpp,//src:ovms_test,379
src/test/ensemble_flow_custom_node_tests.cpp,//src:ovms_test,379
src/test/ensemble_mapping_config_tests.cpp,//src:ovms_test,379
src/test/ensemble_metadata_test.cpp,//src:ovms_test,379
src/test/ensemble_tests.cpp,//src:ovms_test,379
src/test/environment.cpp,//src:libtest_environment,2
src/test/gather_node_test.cpp,//src:ovms_test,379
src/test/gcsfilesystem_test.cpp,//src:ovms_test,379
src/test/get_mediapipe_graph_metadata_response_test.cpp,//src:ovms_test,379
src/test/get_model_metadata_response_test.cpp,//src:ovms_test,379
src/test/get_model_metadata_signature_test.cpp,//src:ovms_test,379
src/test/get_model_metadata_validation_test.cpp,//src:ovms_test,379
src/test/get_pipeline_metadata_response_test.cpp,//src:ovms_test,379
src/test/gguf_environment.cpp,//src:test_gguf_environment,2
src/test/gpuenvironment.cpp,//src:libtest_gpuenvironment,2
src/test/graph_export_test.cpp,//src:graph_export_test,14
src/test/http_openai_handler_test.cpp,//src:ovms_test,379
src/test/http_rest_api_handler_test.cpp,//src:ovms_test,379
src/test/inferencerequest_test.cpp,//src:inferencerequest_test,17
src/test/kfs_metadata_test.cpp,//src:ovms_test,379
src/test/kfs_rest_parser_test.cpp,//src:ovms_test,379
src/test/kfs_rest_test.cpp,//src:ovms_test,379
src/test/layout_test.cpp,//src:ovms_test,379
src/test/libgit2_test.cpp,//src:libgit2_test,241
src/test/light_test_utils.cpp,//src:test_light_test_utils,1
src/test/listdirectorymodels_test.cpp,//src:listdirectorymodels_test,240
src/test/listmodelsendpoint_test.cpp,//src:ovms_test,379
src/test/llm/assisted_decoding_test.cpp,//src:ovms_test,379
src/test/llm/llmnode_test.cpp,//src:ovms_test,379
src/test/llm/llmtemplate_test.cpp,//src:ovms_test,379
src/test/llm/max_model_length_test.cpp,//src:ovms_test,379
src/test/llm/output_parsers/base_output_parser_test.cpp,//src:test_llm_output_parser_tests,30
src/test/llm/output_parsers/devstral_output_parser_test.cpp,//src:test_llm_output_parser_tests,30
src/test/llm/output_parsers/gptoss_output_parser_test.cpp,//src:test_llm_output_parser_tests,30
src/test/llm/output_parsers/hermes3_output_parser_test.cpp,//src:test_llm_output_parser_tests,30
src/test/llm/output_parsers/llama3_output_parser_test.cpp,//src:test_llm_output_parser_tests,30
src/test/llm/output_parsers/mistral_output_parser_test.cpp,//src:test_llm_output_parser_tests,30
src/test/llm/output_parsers/partial_json_builder_test.cpp,//src:test_llm_output_parser_tests,30
src/test/llm/output_parsers/phi4_output_parser_test.cpp,//src:test_llm_output_parser_tests,30
src/test/llm/output_parsers/qwen3_output_parser_test.cpp,//src:test_llm_output_parser_tests,30
